id,left,top,right,bottom,mas_Premonsoon,mas_Postmonsoon,sph_Premonsoon,sph_Postmonsoon,mas_premon,mas_postmon
202,74.75,18.75,75,18.5,-166.238,198.703,-85.5323,125.015,-198.889,202.213
201,74.75,19,75,18.75,-153.197,174.247,-87.2549,128.812,-189.03,198.505
200,74.75,19.25,75,19,-148.298,151.552,-83.4426,110.832,-160.074,164.1
251,75,13.5,75.25,13.25,-35.5424,140.227,-31.054,47.8588,-9.96851,63.4376
250,75,13.75,75.25,13.5,-74.1501,131.68,-24.0968,66.0487,-22.0856,82.5175
249,75,14,75.25,13.75,-76.2795,130.869,-30.947,64.6761,-40.9827,94.164
248,75,14.25,75.25,14,-55.1065,177.792,-42.6283,70.0158,-51.838,120.633
247,75,14.5,75.25,14.25,-78.5753,187.581,-46.4807,66.462,-51.4597,123.446
246,75,14.75,75.25,14.5,-82.5798,196.924,-53.9957,79.0815,-69.8969,153.64
245,75,15,75.25,14.75,-118.296,209.116,-67.6321,80.0193,-129.209,166.527
244,75,15.25,75.25,15,-113.535,191.773,-60.6421,73.1521,-90.5945,152.334
243,75,15.5,75.25,15.25,-105.931,173.734,-62.2776,76.4855,-92.5092,138.179
242,75,15.75,75.25,15.5,-139.261,195.889,-78.4249,78.5057,-145.295,157.105
241,75,16,75.25,15.75,-168.234,193.363,-84.4573,82.5603,-152.083,159.628
240,75,16.25,75.25,16,-163.436,175.844,-75.0509,86.0618,-116.494,164.786
239,75,16.5,75.25,16.25,-184.744,179.504,-88.6009,91.2195,-153.973,155.435
238,75,16.75,75.25,16.5,-139.41,186.136,-89.807,94.4667,-172.351,136.043
237,75,17,75.25,16.75,-127.601,184.121,-89.1304,96.8626,-183.097,139.883
236,75,17.25,75.25,17,-167.799,170.716,-89.8313,106.146,-186.843,152.308
235,75,17.5,75.25,17.25,-181.897,166.543,-87.5289,105.051,-186.62,143.778
234,75,17.75,75.25,17.5,-227.705,186.552,-82.7565,110.824,-165.598,161.54
233,75,18,75.25,17.75,-188.45,180.657,-78.9488,111.853,-165.661,144.387
232,75,18.25,75.25,18,-159.051,172.001,-82.8832,121.311,-160.162,153.966
231,75,18.5,75.25,18.25,-194.585,194.416,-86.8563,122.71,-178.854,179.701
230,75,18.75,75.25,18.5,-182.943,195.335,-87.0613,123.254,-187.476,191.851
229,75,19,75.25,18.75,-165.786,159.542,-89.8761,114.411,-165.32,179.972
228,75,19.25,75.25,19,-183.527,178.22025,-86.46798,110.68893,-23.9388,91.0937
280,75.25,13.25,75.5,13,-60.76,130.991,-33.3304,65.1731,-37.3955,105.028
279,75.25,13.5,75.5,13.25,-86.1988,140.708,-36.0338,71.8824,-31.7328,123.771
278,75.25,13.75,75.5,13.5,-108.752,147.733,-37.4606,73.7861,-39.2846,143.709
277,75.25,14,75.5,13.75,-125.994,154.371,-43.2378,78.8145,-36.8773,161.341
276,75.25,14.25,75.5,14,-104.935,191.647,-48.8212,74.5671,-31.8722,156.572
275,75.25,14.5,75.5,14.25,-73.4499,195.531,-52.6486,70.2438,-102.875,157.316
274,75.25,14.75,75.5,14.5,-103.114,200.868,-67.7504,68.8621,-111.862,161.913
273,75.25,15,75.5,14.75,-85.0891,207.382,-72.405,72.5566,-95.3949,152.392
272,75.25,15.25,75.5,15,-119.269,199.564,-70.6269,68.4989,-108.026,135.786
271,75.25,15.5,75.5,15.25,-106.77,181.793,-71.6343,66.5916,-123.002,151.18
270,75.25,15.75,75.5,15.5,-125.532,191.22,-75.5931,67.4204,-143.446,164.533
269,75.25,16,75.5,15.75,-159.159,192.945,-86.2559,82.0125,-119.528,157.643
268,75.25,16.25,75.5,16,-138.372,194.493,-76.2725,81.1237,-157.511,149.463
267,75.25,16.5,75.5,16.25,-159.621,196.686,-87.9356,90.3637,-169.875,143.187
266,75.25,16.75,75.5,16.5,-142.472,196.384,-88.4335,93.9912,-180.969,141.612
265,75.25,17,75.5,16.75,-141.583,194.376,-90.3633,94.4213,-185.789,142.866
264,75.25,17.25,75.5,17,-169.339,168.82,-90.651,100.665,-171.014,138.845
263,75.25,17.5,75.5,17.25,-207.746,164.701,-82.3547,104.794,-170.139,142.621
262,75.25,17.75,75.5,17.5,-203.24,177.265,-85.058,100.877,-156.962,140.484
261,75.25,18,75.5,17.75,-172.508,177.206,-80.3498,108.729,-148.864,149.842
260,75.25,18.25,75.5,18,-179.062,172.399,-83.5017,109.673,-169.927,168.913
259,75.25,18.5,75.5,18.25,-191.099,197.818,-90.2816,112.78,-180.889,190.456
258,75.25,18.75,75.5,18.5,-179.584,198.877,-93.7083,123.606,-162.997,176.921
257,75.25,19,75.5,18.75,-184.749,162.45,-97.2066,108.046,-44.2722,133.792
308,75.5,13.25,75.75,13,-83.0424,153.45,-43.127,74.4594,-53.7191,134.123
307,75.5,13.5,75.75,13.25,-79.7611,167.724,-47.2063,72.5925,-57.0703,137.609
